,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Socorro,1,US,1619294101,14,31.6546,-106.3033,80.01,3.44
1,Arraial do Cabo,20,BR,1619294272,73,-22.9661,-42.0278,78.8,12.66
2,Hermanus,100,ZA,1619294052,80,-34.4187,19.2345,63.0,5.01
3,Hobart,99,AU,1619294042,76,-42.8794,147.3294,50.0,11.5
4,Hasaki,20,JP,1619294273,93,35.7333,140.8333,46.4,4.61
5,Albany,88,US,1619294273,15,42.6001,-73.9662,70.0,7.65
6,Saint-Philippe,20,RE,1619294093,83,-21.3585,55.7679,78.8,26.46
7,Tasiilaq,75,GL,1619294273,75,65.6145,-37.6368,37.4,1.14
8,Mataura,92,NZ,1619294274,92,-46.1927,168.8643,46.99,5.01
9,Longhua,97,CN,1619294274,87,23.6137,114.1919,74.1,2.44
10,Te Anau,100,NZ,1619294274,92,-45.4167,167.7167,48.9,6.44
11,Puerto Madryn,13,AR,1619294275,40,-42.7692,-65.0385,61.86,2.39
12,Yazman,0,PK,1619294275,15,29.1212,71.7446,84.9,5.17
13,Vila,100,PT,1619294275,78,42.0304,-8.1588,60.01,13.0
14,Mar del Plata,40,AR,1619294193,55,-38.0023,-57.5575,66.2,14.97
15,Airai,58,TL,1619294276,92,-8.9266,125.4092,57.2,2.75
16,Punta Arenas,40,CL,1619294276,71,-53.15,-70.9167,51.8,9.22
17,Viedma,95,AR,1619294113,56,-40.8135,-62.9967,61.88,14.5
18,Saskylakh,97,RU,1619294276,94,71.9167,114.0833,30.92,11.72
19,Saugor,99,IN,1619294277,9,23.8333,78.7167,82.17,4.5
20,Byron Bay,84,AU,1619294139,93,-28.65,153.6167,55.0,4.83
21,Pevek,100,RU,1619294038,86,69.7008,170.3133,21.29,2.48
22,Kavaratti,27,IN,1619294277,75,10.5669,72.642,83.93,7.72
23,Yellowknife,75,CA,1619294278,53,62.456,-114.3525,19.99,11.5
24,Tyrma,0,RU,1619294278,52,50.0833,132.1667,24.26,4.34
